Quote_TR,,Author,Topic
"Yeterince uzun yaşarsan hata yaparsın. Ama onlardan öğrenirsen daha iyi bir insan olursun. Önemli olan zorluklarla nasıl başa çıktığındır, seni nasıl etkilediği değil. Önemli olan asla vazgeçmemek, asla vazgeçmemek ve asla vazgeçmemektir.","If you live long enough, you'll make mistakes. But if you learn from them, you'll be a better person. It's how you handle adversity, not how it affects you. The main thing is never quit, never quit, never quit.",William J. Clinton,life
"Düşmanlarınız mı var? İyi. Bu, hayatınızın bir döneminde bir şeyi savunduğunuz anlamına gelir.","You have enemies? Good. That means you've stood up for something, sometime in your life.",Victor Hugo,life
Hayatın kendisi en harika masaldır.,Life itself is the most wonderful fairy tale.,Hans Christian Andersen,life
Tüm yaşam bir deneydir. Ne kadar çok deneme yaparsanız o kadar iyi olur.,All life is an experiment. The more experiments you make the better.,Ralph Waldo Emerson,life
Hayat bir aynadır ve düşünen kişiye ne düşündüğünü yansıtır.,Life is a mirror and will reflect back to the thinker what he thinks into it.,Ernest Holmes,life
Hayatta coşkuyu bulun; Sadece yaşama duygusu bile yeterince mutluluktur.,Find ecstasy in life; the mere sense of living is joy enough.,Emily Dickinson,life
"Hayat dönüm noktalarından değil, anlardan ibarettir.","Life isn't a matter of milestones, but of moments.",Rose Kennedy,life
Asla sessizliğe zorlanmayın. Kendinizin kurban olmasına asla izin vermeyin. Kimsenin hayatınıza dair tanımını kabul etmeyin; kendinizi tanımlayın.,Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life; define yourself.,Harvey Fierstein,life
"Yaşamın amacı, amacı olan bir yaşamdır.",The purpose of life is a life of purpose.,Robert Byrne,life
Hayatı birbirimiz için daha az zorlaştırmak değilse ne için yaşıyoruz?,"What do we live for, if not to make life less difficult for each other?",George Eliot,life
"Hayattaki en büyük tehlike, çok fazla önlem almanızdır.",The chief danger in life is that you may take too many precautions.,Alfred Adler,life
"Hayat yakından bakıldığında bir trajedi, uzaktan bakıldığında ise bir komedidir.","Life is a tragedy when seen in close-up, but a comedy in long-shot.",Charlie Chaplin,life
"Hayat, iyi kartlara sahip olmak değil, iyi tuttuklarınızı oynamaktan ibarettir.",Life consists not in holding good cards but in playing those you hold well.,Josh Billings,life
"Hayatın cesaretinizi kırmasına izin vermeyin; bulunduğu yere gelen herkes, bulunduğunuz yerden başlamak zorundaydı.",Don't let life discourage you; everyone who got where he is had to begin where he was.,Richard L. Evans,life
"Farkındalık sevgiyle ve yaşamı sevmekle ilgilidir. Bu sevgiyi geliştirdiğinizde, bu size hayata karşı netlik ve şefkat verir ve eylemleriniz de buna uygun olarak gerçekleşir.","Mindfulness is about love and loving life. When you cultivate this love, it gives you clarity and compassion for life, and your actions happen in accordance with that.",Jon Kabat-Zinn,life
"Yaşam sanatı, biraz keyif almayı ve çok dayanmayı bilmektir.",The art of life is to know how to enjoy a little and to endure very much.,William Hazlitt,life
Belki de insanın yapabileceği tek şey doğru pişmanlıklarla karşılaşmayı ummaktır.,Maybe all one can do is hope to end up with the right regrets.,Arthur Miller,life
"Hayat bizim yaptıklarımızdır, her zaman bu olmuştur ve her zaman olacaktır.","Life is what we make it, always has been, always will be.",Grandma Moses,life
"Doğmakla meşgul olmayan, ölmekle meşguldür.",He not busy being born is busy dying.,Bob Dylan,life
Bir an önce yaşamaya başlayın ve her günü ayrı bir hayat olarak sayın.,"Begin at once to live, and count each separate day as a separate life.",Seneca,life
"Hayat, geçmişin bir zirvesi, şimdiki zamanın farkındalığı, bilginin ötesinde bir geleceğin göstergesi, maddeye ilahilik dokunuşu veren bir niteliktir.","Life is a culmination of the past, an awareness of the present, an indication of a future beyond knowledge, the quality that gives a touch of divinity to matter.",Charles Lindbergh,life
Hayatın en büyük zevki sevgidir.,The greatest pleasure of life is love.,Euripides,life
Hayatı planlayamıyoruz. Yapabileceğimiz tek şey buna hazır olmaktır.,We can't plan life. All we can do is be available for it.,Lauryn Hill,life
"Hayat hıçkırıklardan, iç çekmelerden ve gülümsemelerden oluşur; iç çekmeler çoğunluktadır.","Life is made up of sobs, sniffles, and smiles, with sniffles predominating.",O. Henry,life
"Hayat anların birbirini takip etmesidir, her birini yaşamak başarılı olmaktır.","Life is a succession of moments, to live each one is to succeed.",Corita Kent,life
"Hayattan alabileceklerimizi almak için değil, hayata katabileceklerimizi katmak için buradayız.","We are here to add what we can to life, not to get what we can from life.",William Osler,life
Hayat alçakgönüllülük konusunda uzun bir derstir.,Life is a long lesson in humility.,James M. Barrie,life
Tüm yaşamımız sonuçta kendimizi olduğumuz gibi kabul etmekten ibarettir.,Our entire life - consists ultimately in accepting ourselves as we are.,Jean Anouilh,life
"Her hayat tek bir andan oluşur; bir insanın, kim olduğunu kesin olarak öğrendiği andan.","Any life is made up of a single moment, the moment in which a man finds out, once and for all, who he is.",Jorge Luis Borges,life
Hayat düşündüğümüzden daha eğlenceli.,Life's more amusing than we thought.,Andrew Lang,life
Hayat her zaman büyük ölçüde bizim onu ​​yaptığımız şey olacaktır.,Life will always be to a large extent what we ourselves make it.,Samuel Smiles,life
Yanlış hayat doğru yaşanamaz.,Wrong life cannot be lived rightly.,Theodor W. Adorno,life
"Hayat bir borazan gibidir; eğer içine hiçbir şey koymazsanız, ondan hiçbir şey alamazsınız.","Life is like a trumpet - if you don't put anything into it, you don't get anything out of it.",William Christopher Handy,life
Hayatın ciddi olduğu fikrini destekleyen tek bir kanıt bile yok.,Not a shred of evidence exists in favor of the idea that life is serious.,Brendan Gill,life
Hayattan istediğiniz şeyleri elde etmenin vazgeçilmez ilk adımı şudur: Ne istediğinize karar verin.,The indispensable first step to getting the things you want out of life is this: decide what you want.,Ben Stein,life
Hayatın yüzde onu başınıza gelenlerden ve yüzde doksanı buna nasıl tepki verdiğinizden ibarettir.,Life is ten percent what happens to you and ninety percent how you respond to it.,Lou Holtz,life
Yaşamın kendisi uygun bir eğlencedir.,Life itself is the proper binge.,Julia Child,life
"Mutlu bir hayat kurmak için çok az şeye ihtiyaç vardır; her şey kendi içinizdedir, sizin düşünce tarzınızdadır.","Very little is needed to make a happy life; it is all within yourself, in your way of thinking.",Marcus Aurelius,life
Hayat hiçbir zaman adil değildir ve belki de çoğumuz için öyle olmaması iyi bir şeydir.,"Life is never fair, and perhaps it is a good thing for most of us that it is not.",Oscar Wilde,life
Hayat devam eden bir çalışmadır.,Life is a work in progress.,Jeff Rich,life
"Neyse ki analiz, iç çatışmaları çözmenin tek yolu değildir. Yaşamın kendisi hala çok etkili bir terapist olmaya devam ediyor.",Fortunately analysis is not the only way to resolve inner conflicts. Life itself still remains a very effective therapist.,Karen Horney,life
Geride bırakılan büyük izler kimin umurunda? Bir hayatımız var... sadece bir tane. Bizim hayatımız. Başka hiçbir şeyimiz yok.,Who cares about great marks left behind? We have one life... just one. Our life. We have nothing else.,Ugo Betti,life
"Hayat, anlaşılması için yaşanması gereken dersler dizisidir. Her şey bir bilmecedir ve bilmecenin anahtarı başka bir bilmecedir.","Life is a succession of lessons which must be lived to be understood. All is riddle, and the key to a riddle is another riddle.",Ralph Waldo Emerson,life
"Hayat çözülmesi gereken bir sorun değil, yaşanması gereken bir gerçekliktir.","Life is not a problem to be solved, but a reality to be experienced.",Soren Kierkegaard,life
Ölmeden önce hayatınızın gözlerinizin önünden geçtiği sıklıkla söylenir. Aslında bu doğrudur. Buna yaşamak denir.,It is often said that before you die your life passes before your eyes. It is in fact true. It's called living.,Terry Pratchett,life
"Hayat, asaleti ruhu besleyecek maceralara yönelik bir arzu mücadelesi olmalıdır.",Life ought to be a struggle of desire toward adventures whose nobility will fertilize the soul.,Rebecca West,life
"Hayattaki işimiz başarılı olmak değil, iyi bir ruh halinde başarısızlığa devam etmektir.","Our business in life is not to succeed, but to continue to fail in good spirits.",Robert Louis Stevenson,life
Dünyanın sana bir geçim borcu olduğunu söyleyerek ortalıkta dolaşma. Dünyanın sana hiçbir borcu yok. İlk önce o buradaydı.,Don't go around saying the world owes you a living. The world owes you nothing. It was here first.,Mark Twain,life
Hayatı tatlı kılan şey onun bir daha gelmeyecek olmasıdır.,That it will never come again is what makes life sweet.,Emily Dickinson,life
"Herhangi bir şeyin fiyatı, onunla takas ettiğiniz hayat miktarıdır.",The price of anything is the amount of life you exchange for it.,Henry David Thoreau,life
Bazen hayat kafanıza bir tuğlayla vurur. İnancınızı kaybetmeyin.,Sometimes life hits you in the head with a brick. Don't lose faith.,Steve Jobs,life
Hayat kendini bulmakla ilgili değil. Hayat kendini yaratmakla ilgilidir.,Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,life
Hazır olana kadar yaşamayı erteleyemeyiz.,We cannot put off living until we are ready.,Jose Ortega y Gasset,life
"Hayatımız, düşüncelerimizin onu yarattığı şeydir.",Our life is what our thoughts make it.,Marcus Aurelius,life
"Gözlerini aç, kendi hayatına bak. Yaşadığın hayattan memnun musun? ","Open your eyes, look within. Are you satisfied with the life you're living?",Bob Marley,life
